Node;Centrality Degree
495;0.020833
125;0.021277
534;0.021277
438;0.021505
245;0.021505
130;0.021505
602;0.021505
609;0.021505
118;0.021739
107;0.021739
613;0.021739
353;0.021739
304;0.021978
270;0.021978
90;0.021978
530;0.021978
269;0.021978
490;0.021978
481;0.021978
445;0.021978
580;0.021978
416;0.022222
192;0.022222
478;0.022222
372;0.022222
289;0.022222
540;0.022222
639;0.022222
241;0.022222
571;0.022222
456;0.022222
473;0.022472
115;0.022472
619;0.022472
146;0.022472
215;0.022472
592;0.022472
316;0.022472
127;0.022472
608;0.022472
531;0.022472
515;0.022472
247;0.022472
288;0.022472
600;0.022472
412;0.022727
145;0.022727
437;0.022727
344;0.022727
343;0.022727
221;0.022727
93;0.022727
96;0.022727
272;0.022727
128;0.022727
229;0.022727
117;0.022727
234;0.022727
476;0.022727
567;0.022727
536;0.022727
518;0.022727
471;0.022727
301;0.022989
364;0.022989
612;0.022989
342;0.022989
328;0.022989
593;0.022989
222;0.022989
508;0.022989
449;0.022989
523;0.022989
578;0.022989
254;0.022989
114;0.022989
242;0.022989
564;0.022989
186;0.022989
66;0.022989
418;0.022989
468;0.022989
210;0.022989
205;0.022989
264;0.023256
99;0.023256
526;0.023256
532;0.023256
267;0.023256
105;0.023256
479;0.023256
149;0.023256
257;0.023256
256;0.023256
148;0.023256
250;0.023256
459;0.023256
548;0.023256
120;0.023256
588;0.023256
511;0.023256
212;0.023256
352;0.023256
501;0.023256
329;0.023256
211;0.023256
378;0.023256
491;0.023256
320;0.023529
452;0.023529
635;0.023529
616;0.023529
610;0.023529
607;0.023529
203;0.023529
622;0.023529
240;0.023529
574;0.023529
496;0.023529
448;0.023529
455;0.023529
460;0.023529
435;0.023529
423;0.023529
392;0.023529
391;0.023529
390;0.023529
385;0.023529
383;0.023529
375;0.023529
345;0.023529
560;0.023529
326;0.023529
315;0.023529
507;0.023529
309;0.023529
519;0.023529
287;0.023529
283;0.023529
525;0.023529
248;0.023529
554;0.023529
555;0.023529
76;0.023529
92;0.023810
477;0.023810
285;0.023810
199;0.023810
198;0.023810
97;0.023810
297;0.023810
483;0.023810
631;0.023810
204;0.023810
190;0.023810
305;0.023810
185;0.023810
183;0.023810
312;0.023810
179;0.023810
520;0.023810
595;0.023810
466;0.023810
552;0.023810
69;0.023810
227;0.023810
226;0.023810
421;0.023810
218;0.023810
268;0.023810
361;0.023810
557;0.023810
275;0.023810
132;0.023810
65;0.023810
559;0.023810
475;0.023810
397;0.023810
371;0.023810
139;0.023810
335;0.023810
333;0.023810
331;0.023810
494;0.023810
166;0.023810
509;0.023810
573;0.023810
516;0.023810
61;0.023810
363;0.023810
359;0.023810
517;0.023810
173;0.023810
570;0.023810
450;0.023810
153;0.023810
349;0.023810
623;0.024096
265;0.024096
538;0.024096
502;0.024096
263;0.024096
406;0.024096
260;0.024096
504;0.024096
354;0.024096
355;0.024096
249;0.024096
246;0.024096
358;0.024096
410;0.024096
549;0.024096
237;0.024096
236;0.024096
95;0.024096
620;0.024096
314;0.024096
313;0.024096
522;0.024096
524;0.024096
307;0.024096
382;0.024096
493;0.024096
513;0.024096
601;0.024096
596;0.024096
480;0.024096
618;0.024096
396;0.024096
340;0.024096
280;0.024096
376;0.024096
401;0.024096
44;0.024096
276;0.024096
497;0.024096
458;0.024096
165;0.024096
135;0.024096
177;0.024096
589;0.024096
129;0.024096
191;0.024096
420;0.024096
189;0.024096
553;0.024096
187;0.024096
568;0.024096
422;0.024096
637;0.024096
434;0.024096
393;0.024390
591;0.024390
171;0.024390
561;0.024390
614;0.024390
201;0.024390
284;0.024390
164;0.024390
206;0.024390
465;0.024390
209;0.024390
47;0.024390
291;0.024390
77;0.024390
621;0.024390
213;0.024390
322;0.024390
430;0.024390
298;0.024390
321;0.024390
563;0.024390
303;0.024390
22;0.024390
89;0.024390
64;0.024390
126;0.024390
348;0.024390
347;0.024390
82;0.024390
357;0.024390
133;0.024390
541;0.024390
577;0.024390
442;0.024390
470;0.024390
