Node;Centrality Degree
301;0.071429
23;0.071429
545;0.071429
102;0.071429
498;0.071429
272;0.071429
507;0.071429
273;0.071429
99;0.071429
488;0.071429
106;0.071429
87;0.071429
321;0.071429
377;0.071429
452;0.071429
523;0.071429
307;0.071429
458;0.071429
113;0.074074
105;0.074074
120;0.074074
311;0.074074
303;0.074074
346;0.074074
289;0.074074
100;0.074074
571;0.074074
359;0.074074
361;0.074074
567;0.074074
627;0.074074
385;0.074074
387;0.074074
392;0.074074
74;0.074074
560;0.074074
70;0.074074
398;0.074074
156;0.074074
608;0.074074
202;0.074074
203;0.074074
209;0.074074
210;0.074074
215;0.074074
217;0.074074
219;0.074074
166;0.074074
233;0.074074
237;0.074074
238;0.074074
240;0.074074
299;0.074074
248;0.074074
150;0.074074
147;0.074074
146;0.074074
143;0.074074
280;0.074074
281;0.074074
282;0.074074
135;0.074074
536;0.074074
130;0.074074
298;0.074074
553;0.074074
496;0.074074
24;0.074074
44;0.074074
489;0.074074
431;0.074074
541;0.074074
547;0.074074
544;0.074074
56;0.074074
15;0.074074
519;0.074074
440;0.074074
530;0.074074
532;0.074074
533;0.074074
38;0.074074
419;0.074074
447;0.074074
460;0.074074
62;0.074074
464;0.074074
64;0.074074
465;0.074074
33;0.074074
542;0.076923
471;0.076923
591;0.076923
271;0.076923
255;0.076923
546;0.076923
275;0.076923
474;0.076923
243;0.076923
589;0.076923
588;0.076923
587;0.076923
468;0.076923
288;0.076923
294;0.076923
597;0.076923
414;0.076923
186;0.076923
188;0.076923
268;0.076923
189;0.076923
195;0.076923
201;0.076923
204;0.076923
528;0.076923
214;0.076923
522;0.076923
218;0.076923
540;0.076923
253;0.076923
517;0.076923
222;0.076923
228;0.076923
515;0.076923
594;0.076923
514;0.076923
513;0.076923
242;0.076923
185;0.076923
244;0.076923
245;0.076923
511;0.076923
381;0.076923
351;0.076923
570;0.076923
357;0.076923
556;0.076923
360;0.076923
429;0.076923
568;0.076923
428;0.076923
427;0.076923
566;0.076923
565;0.076923
425;0.076923
378;0.076923
349;0.076923
382;0.076923
422;0.076923
421;0.076923
561;0.076923
390;0.076923
420;0.076923
393;0.076923
395;0.076923
417;0.076923
403;0.076923
406;0.076923
407;0.076923
327;0.076923
297;0.076923
455;0.076923
306;0.076923
309;0.076923
554;0.076923
449;0.076923
319;0.076923
579;0.076923
448;0.076923
322;0.076923
577;0.076923
326;0.076923
296;0.076923
331;0.076923
332;0.076923
334;0.076923
335;0.076923
576;0.076923
446;0.076923
337;0.076923
340;0.076923
445;0.076923
439;0.076923
433;0.076923
574;0.076923
617;0.076923
115;0.076923
116;0.076923
620;0.076923
118;0.076923
27;0.076923
126;0.076923
618;0.076923
129;0.076923
26;0.076923
25;0.076923
134;0.076923
114;0.076923
141;0.076923
145;0.076923
614;0.076923
18;0.076923
613;0.076923
153;0.076923
157;0.076923
158;0.076923
161;0.076923
11;0.076923
78;0.076923
631;0.076923
51;0.076923
630;0.076923
59;0.076923
48;0.076923
68;0.076923
47;0.076923
71;0.076923
73;0.076923
633;0.076923
77;0.076923
184;0.076923
81;0.076923
83;0.076923
35;0.076923
93;0.076923
94;0.076923
624;0.076923
101;0.076923
104;0.076923
109;0.076923
30;0.076923
175;0.076923
168;0.076923
179;0.076923
180;0.076923
164;0.076923
165;0.076923
170;0.076923
174;0.076923
7;0.076923
354;0.080000
177;0.080000
95;0.080000
32;0.080000
356;0.080000
178;0.080000
34;0.080000
84;0.080000
91;0.080000
626;0.080000
364;0.080000
367;0.080000
368;0.080000
634;0.080000
371;0.080000
88;0.080000
37;0.080000
41;0.080000
205;0.080000
477;0.080000
598;0.080000
473;0.080000
329;0.080000
472;0.080000
111;0.080000
599;0.080000
333;0.080000
622;0.080000
107;0.080000
96;0.080000
339;0.080000
341;0.080000
575;0.080000
344;0.080000
467;0.080000
539;0.080000
550;0.080000
625;0.080000
573;0.080000
436;0.080000
443;0.080000
441;0.080000
410;0.080000
411;0.080000
558;0.080000
2;0.080000
65;0.080000
415;0.080000
418;0.080000
437;0.080000
444;0.080000
58;0.080000
424;0.080000
57;0.080000
426;0.080000
