Node;Centrality Degree
258;0.013333
445;0.013423
441;0.013423
506;0.013423
279;0.013423
255;0.013514
393;0.013605
173;0.013699
406;0.013699
403;0.013699
256;0.013793
478;0.013793
269;0.013793
497;0.013889
620;0.013889
490;0.013889
589;0.013889
572;0.013889
482;0.013986
630;0.013986
518;0.013986
539;0.013986
451;0.014085
542;0.014085
540;0.014085
626;0.014085
301;0.014085
625;0.014085
332;0.014085
248;0.014184
429;0.014184
145;0.014184
553;0.014184
382;0.014184
474;0.014184
532;0.014286
560;0.014286
284;0.014286
549;0.014286
354;0.014286
398;0.014286
635;0.014388
512;0.014388
587;0.014388
470;0.014388
416;0.014388
508;0.014388
397;0.014388
335;0.014388
418;0.014493
311;0.014493
316;0.014493
558;0.014493
322;0.014493
546;0.014493
484;0.014599
524;0.014599
503;0.014599
581;0.014599
362;0.014599
618;0.014599
372;0.014599
603;0.014599
592;0.014599
629;0.014599
578;0.014599
188;0.014599
415;0.014599
180;0.014599
182;0.014706
479;0.014706
436;0.014706
557;0.014706
204;0.014706
392;0.014706
457;0.014706
172;0.014706
612;0.014706
312;0.014815
200;0.014815
509;0.014815
150;0.014815
364;0.014815
368;0.014815
496;0.014815
197;0.014815
407;0.014815
459;0.014815
148;0.014815
548;0.014815
527;0.014815
523;0.014925
460;0.014925
417;0.014925
576;0.014925
128;0.014925
585;0.014925
220;0.014925
538;0.014925
632;0.014925
515;0.015038
583;0.015038
596;0.015038
414;0.015038
208;0.015038
577;0.015038
306;0.015038
491;0.015038
181;0.015038
244;0.015038
355;0.015038
433;0.015038
568;0.015038
559;0.015038
318;0.015038
531;0.015038
462;0.015038
419;0.015152
563;0.015152
638;0.015152
303;0.015152
152;0.015152
288;0.015152
556;0.015152
463;0.015152
207;0.015152
510;0.015152
317;0.015152
103;0.015152
622;0.015152
352;0.015152
611;0.015152
609;0.015152
225;0.015152
544;0.015152
601;0.015152
600;0.015152
281;0.015267
380;0.015267
434;0.015267
287;0.015267
623;0.015267
593;0.015267
315;0.015267
521;0.015267
520;0.015267
79;0.015267
550;0.015267
528;0.015267
492;0.015267
74;0.015267
46;0.015385
365;0.015385
425;0.015385
367;0.015385
345;0.015385
569;0.015385
551;0.015385
619;0.015385
554;0.015385
325;0.015385
229;0.015385
105;0.015385
586;0.015385
206;0.015385
374;0.015385
115;0.015385
456;0.015385
285;0.015385
449;0.015385
219;0.015385
636;0.015385
467;0.015385
413;0.015504
371;0.015504
388;0.015504
487;0.015504
483;0.015504
486;0.015504
422;0.015504
464;0.015504
302;0.015504
455;0.015504
274;0.015504
307;0.015504
443;0.015504
495;0.015504
447;0.015504
280;0.015625
604;0.015625
298;0.015625
122;0.015625
489;0.015625
292;0.015625
218;0.015625
514;0.015625
278;0.015625
494;0.015625
373;0.015625
321;0.015625
336;0.015625
249;0.015625
606;0.015625
353;0.015625
359;0.015625
574;0.015625
437;0.015625
430;0.015625
72;0.015625
448;0.015625
454;0.015625
505;0.015748
525;0.015748
160;0.015748
357;0.015748
432;0.015748
108;0.015748
349;0.015748
615;0.015748
472;0.015748
43;0.015748
324;0.015748
198;0.015748
389;0.015748
87;0.015748
621;0.015748
507;0.015873
564;0.015873
327;0.015873
162;0.015873
535;0.015873
498;0.015873
573;0.015873
326;0.015873
50;0.015873
266;0.015873
141;0.015873
477;0.015873
282;0.015873
450;0.015873
286;0.015873
226;0.015873
228;0.015873
155;0.015873
310;0.015873
519;0.015873
313;0.015873
125;0.016000
201;0.016000
384;0.016000
440;0.016000
366;0.016000
320;0.016000
276;0.016000
616;0.016000
94;0.016000
346;0.016000
511;0.016000
481;0.016000
230;0.016000
605;0.016000
476;0.016000
185;0.016000
358;0.016000
634;0.016129
631;0.016129
469;0.016129
295;0.016129
562;0.016129
252;0.016129
633;0.016129
608;0.016129
192;0.016129
555;0.016129
127;0.016129
129;0.016129
233;0.016129
234;0.016129
409;0.016129
607;0.016129
501;0.016129
590;0.016129
215;0.016129
171;0.016129
334;0.016129
396;0.016129
262;0.016129
394;0.016260
387;0.016260
404;0.016260
400;0.016260
639;0.016260
438;0.016260
386;0.016260
582;0.016260
411;0.016260
