Node;Centrality Degree
30152;0.005814
38739;0.005865
31496;0.005882
24685;0.005917
40244;0.005917
34932;0.005952
40135;0.006079
23323;0.006079
29741;0.006098
35756;0.006098
33976;0.006098
38234;0.006135
38547;0.006135
38046;0.006135
29927;0.006154
35287;0.006154
39391;0.006154
25057;0.006173
34379;0.006173
39868;0.006192
17635;0.006192
29182;0.006192
39812;0.006192
32558;0.006211
23217;0.006211
38090;0.006211
39836;0.006231
24420;0.006231
33869;0.006231
19631;0.006231
25259;0.006250
32658;0.006270
30420;0.006270
39183;0.006270
38538;0.006270
40297;0.006289
20600;0.006289
39347;0.006289
20952;0.006289
38143;0.006289
17079;0.006289
37854;0.006289
38460;0.006289
24546;0.006309
29491;0.006329
25659;0.006329
39801;0.006369
35900;0.006390
36584;0.006410
35294;0.006410
40002;0.006410
18511;0.006410
36956;0.006410
38456;0.006431
31000;0.006431
33272;0.006452
37174;0.006452
27831;0.006452
29898;0.006452
23644;0.006472
32787;0.006472
40428;0.006472
17871;0.006472
35586;0.006472
37450;0.006472
26431;0.006472
25565;0.006494
32962;0.006494
37104;0.006494
22566;0.006494
30822;0.006494
39613;0.006494
32944;0.006494
40427;0.006515
37856;0.006515
39499;0.006515
34245;0.006515
38216;0.006536
32083;0.006536
39660;0.006536
36881;0.006536
25549;0.006536
27868;0.006536
35779;0.006536
33682;0.006536
34813;0.006536
18776;0.006536
20132;0.006557
35074;0.006557
36733;0.006557
38267;0.006557
32007;0.006579
40817;0.006579
38293;0.006579
34841;0.006579
32354;0.006579
24899;0.006579
40102;0.006579
25875;0.006601
35971;0.006601
30818;0.006601
33756;0.006601
36830;0.006601
39949;0.006601
36931;0.006601
22208;0.006601
28830;0.006601
13981;0.006601
11372;0.006601
12771;0.006601
35321;0.006601
32589;0.006623
36224;0.006623
28828;0.006623
34559;0.006623
32172;0.006623
34919;0.006623
24499;0.006623
34906;0.006623
33062;0.006623
17831;0.006623
32294;0.006623
29483;0.006623
37598;0.006623
36896;0.006623
28380;0.006623
36946;0.006645
33172;0.006645
27757;0.006645
38801;0.006645
21037;0.006645
34337;0.006645
39819;0.006645
34212;0.006645
39506;0.006645
32601;0.006645
18811;0.006645
33379;0.006645
30034;0.006645
22168;0.006645
17935;0.006645
32851;0.006645
18676;0.006645
38706;0.006667
32575;0.006667
35523;0.006667
24157;0.006667
31915;0.006667
37803;0.006667
24692;0.006667
29094;0.006667
27144;0.006667
27215;0.006667
37681;0.006667
38812;0.006667
25114;0.006667
38823;0.006667
24087;0.006667
38947;0.006667
26582;0.006689
33294;0.006689
40040;0.006689
30020;0.006689
31259;0.006689
40770;0.006689
38322;0.006689
32260;0.006689
21228;0.006689
39434;0.006689
19317;0.006689
32063;0.006689
30593;0.006689
38409;0.006689
27961;0.006689
39083;0.006689
40223;0.006689
40204;0.006689
40719;0.006689
18763;0.006711
33401;0.006711
32613;0.006711
23109;0.006711
38394;0.006711
24572;0.006711
16865;0.006711
38030;0.006711
23857;0.006711
32044;0.006711
18096;0.006711
22550;0.006711
29303;0.006711
26284;0.006711
15889;0.006711
36727;0.006711
36680;0.006711
25320;0.006711
35521;0.006711
33543;0.006711
21809;0.006734
31439;0.006734
31951;0.006734
35452;0.006734
11356;0.006734
38715;0.006734
37178;0.006734
38063;0.006734
24882;0.006734
35628;0.006734
33152;0.006734
31001;0.006734
33925;0.006734
29513;0.006734
33827;0.006734
16376;0.006757
35910;0.006757
39513;0.006757
13459;0.006757
35765;0.006757
37527;0.006757
29829;0.006757
31469;0.006757
39018;0.006757
26889;0.006757
29433;0.006757
18006;0.006757
31793;0.006757
31568;0.006757
25662;0.006780
38425;0.006780
18586;0.006780
38423;0.006780
39248;0.006780
39361;0.006780
38105;0.006780
40927;0.006780
28819;0.006780
37477;0.006780
26313;0.006780
34859;0.006780
40699;0.006780
38969;0.006780
29523;0.006780
39116;0.006780
39795;0.006780
20433;0.006780
39640;0.006780
24226;0.006780
29585;0.006780
34491;0.006780
21886;0.006803
38635;0.006803
27793;0.006803
32392;0.006803
40481;0.006803
30546;0.006803
37231;0.006803
19946;0.006803
34517;0.006803
24803;0.006803
38104;0.006803
21473;0.006826
38585;0.006826
18021;0.006826
32467;0.006826
29705;0.006826
36842;0.006826
33221;0.006826
32509;0.006826
32714;0.006826
23256;0.006826
32639;0.006826
30142;0.006849
40876;0.006849
14566;0.006849
15151;0.006849
37521;0.006849
38093;0.006849
23831;0.006849
35449;0.006849
33550;0.006849
33835;0.006849
17907;0.006849
33271;0.006849
35704;0.006849
27865;0.006849
18815;0.006849
38484;0.006849
39439;0.006849
20893;0.006849
17114;0.006849
24646;0.006849
30640;0.006849
31852;0.006849
18384;0.006849
33120;0.006849
38558;0.006849
32185;0.006873
34516;0.006873
11661;0.006873
39393;0.006873
17323;0.006873
35752;0.006873
17745;0.006873
40867;0.006873
37590;0.006873
38877;0.006873
35842;0.006873
37454;0.006873
22543;0.006873
27248;0.006873
16975;0.006873
34955;0.006873
28865;0.006873
34786;0.006873
33018;0.006873
38339;0.006873
17089;0.006873
39323;0.006897
22824;0.006897
37466;0.006897
25353;0.006897
39697;0.006897
19232;0.006897
18339;0.006897
18486;0.006897
26951;0.006897
32810;0.006897
40416;0.006897
32772;0.006897
24566;0.006897
28524;0.006897
21590;0.006897
29361;0.006897
36849;0.006897
30580;0.006897
40915;0.006897
35284;0.006897
29271;0.006897
32966;0.006897
40511;0.006897
22162;0.006897
36966;0.006920
37618;0.006920
31466;0.006920
31700;0.006920
15940;0.006920
29798;0.006920
27051;0.006920
38681;0.006920
40346;0.006920
29675;0.006920
30018;0.006920
24366;0.006920
24712;0.006920
20302;0.006920
31611;0.006920
33086;0.006920
30609;0.006920
26562;0.006920
32134;0.006920
14923;0.006920
29506;0.006920
38881;0.006920
31413;0.006920
34165;0.006920
40525;0.006920
17173;0.006920
36568;0.006920
34943;0.006920
26360;0.006920
39667;0.006920
13407;0.006920
38147;0.006920
30749;0.006920
32523;0.006920
39005;0.006920
