Node;Centrality Degree
2517;0.083333
2046;0.083333
1021;0.083333
1575;0.083333
1602;0.083333
1722;0.086957
395;0.086957
2333;0.086957
649;0.086957
1412;0.086957
1530;0.086957
2345;0.086957
2234;0.086957
1574;0.086957
1721;0.086957
1463;0.086957
1101;0.086957
46;0.086957
788;0.086957
938;0.086957
550;0.086957
1275;0.086957
1621;0.086957
1053;0.086957
1367;0.086957
866;0.086957
1740;0.086957
405;0.086957
427;0.086957
2538;0.086957
2093;0.086957
2024;0.086957
1628;0.086957
668;0.086957
2065;0.086957
1300;0.086957
834;0.086957
2121;0.086957
213;0.086957
1637;0.086957
1493;0.086957
819;0.086957
487;0.086957
826;0.086957
2492;0.086957
1207;0.086957
2190;0.086957
800;0.086957
2029;0.086957
1788;0.086957
2167;0.090909
1796;0.090909
777;0.090909
353;0.090909
203;0.090909
1211;0.090909
1783;0.090909
599;0.090909
2338;0.090909
601;0.090909
2494;0.090909
2376;0.090909
584;0.090909
1843;0.090909
575;0.090909
1160;0.090909
1165;0.090909
2094;0.090909
1167;0.090909
2322;0.090909
1170;0.090909
2027;0.090909
1820;0.090909
2092;0.090909
1189;0.090909
1176;0.090909
2444;0.090909
1178;0.090909
175;0.090909
1613;0.090909
2162;0.090909
1374;0.090909
592;0.090909
182;0.090909
1185;0.090909
2088;0.090909
1288;0.090909
640;0.090909
642;0.090909
1712;0.090909
646;0.090909
1280;0.090909
273;0.090909
1708;0.090909
2191;0.090909
1705;0.090909
278;0.090909
686;0.090909
2176;0.090909
2072;0.090909
2188;0.090909
323;0.090909
1318;0.090909
1696;0.090909
1695;0.090909
676;0.090909
1672;0.090909
1315;0.090909
1687;0.090909
2068;0.090909
299;0.090909
2067;0.090909
301;0.090909
1305;0.090909
1307;0.090909
1310;0.090909
2483;0.090909
208;0.090909
1780;0.090909
2491;0.090909
2489;0.090909
2205;0.090909
222;0.090909
1765;0.090909
1762;0.090909
1591;0.090909
2454;0.090909
230;0.090909
620;0.090909
2455;0.090909
2368;0.090909
1218;0.090909
2367;0.090909
1253;0.090909
718;0.090909
330;0.090909
714;0.090909
1260;0.090909
329;0.090909
1737;0.090909
1269;0.090909
2477;0.090909
2194;0.090909
2192;0.090909
1726;0.090909
324;0.090909
445;0.090909
1074;0.090909
1527;0.090909
1526;0.090909
1076;0.090909
1079;0.090909
2007;0.090909
898;0.090909
2140;0.090909
532;0.090909
1430;0.090909
1902;0.090909
1436;0.090909
960;0.090909
888;0.090909
412;0.090909
1564;0.090909
1895;0.090909
2278;0.090909
2407;0.090909
2128;0.090909
1891;0.090909
2114;0.090909
98;0.090909
1035;0.090909
1459;0.090909
1938;0.090909
55;0.090909
2257;0.090909
930;0.090909
506;0.090909
1042;0.090909
918;0.090909
1930;0.090909
2134;0.090909
2111;0.090909
1470;0.090909
1928;0.090909
2284;0.090909
39;0.090909
522;0.090909
1439;0.090909
909;0.090909
