Node;Centrality Degree
162;0.064516
94;0.066667
93;0.066667
309;0.066667
200;0.066667
318;0.066667
320;0.066667
342;0.066667
485;0.066667
188;0.066667
274;0.068966
408;0.068966
95;0.068966
335;0.068966
489;0.068966
336;0.068966
355;0.068966
464;0.068966
455;0.068966
453;0.068966
377;0.068966
66;0.068966
439;0.068966
409;0.068966
168;0.068966
262;0.068966
186;0.068966
602;0.068966
192;0.068966
151;0.068966
567;0.068966
123;0.068966
136;0.071429
70;0.071429
69;0.071429
375;0.071429
181;0.071429
156;0.071429
390;0.071429
400;0.071429
148;0.071429
402;0.071429
406;0.071429
61;0.071429
147;0.071429
366;0.071429
173;0.071429
77;0.071429
80;0.071429
341;0.071429
86;0.071429
194;0.071429
195;0.071429
118;0.071429
92;0.071429
112;0.071429
246;0.071429
255;0.071429
303;0.071429
302;0.071429
301;0.071429
424;0.071429
546;0.071429
544;0.071429
542;0.071429
532;0.071429
519;0.071429
518;0.071429
30;0.071429
507;0.071429
563;0.071429
494;0.071429
35;0.071429
580;0.071429
487;0.071429
594;0.071429
597;0.071429
633;0.071429
459;0.071429
462;0.071429
46;0.071429
445;0.071429
612;0.071429
410;0.071429
429;0.071429
220;0.074074
219;0.074074
224;0.074074
210;0.074074
204;0.074074
556;0.074074
548;0.074074
561;0.074074
634;0.074074
199;0.074074
226;0.074074
630;0.074074
562;0.074074
566;0.074074
155;0.074074
570;0.074074
625;0.074074
585;0.074074
183;0.074074
591;0.074074
157;0.074074
177;0.074074
176;0.074074
603;0.074074
170;0.074074
492;0.074074
443;0.074074
449;0.074074
452;0.074074
639;0.074074
364;0.074074
357;0.074074
475;0.074074
354;0.074074
352;0.074074
477;0.074074
348;0.074074
479;0.074074
480;0.074074
337;0.074074
488;0.074074
236;0.074074
327;0.074074
323;0.074074
499;0.074074
311;0.074074
503;0.074074
304;0.074074
525;0.074074
540;0.074074
295;0.074074
287;0.074074
280;0.074074
277;0.074074
541;0.074074
263;0.074074
239;0.074074
133;0.074074
121;0.074074
81;0.074074
76;0.074074
49;0.074074
12;0.074074
51;0.074074
8;0.074074
101;0.074074
41;0.074074
104;0.074074
22;0.074074
106;0.074074
64;0.074074
38;0.074074
14;0.074074
62;0.074074
24;0.074074
111;0.074074
18;0.074074
9;0.076923
99;0.076923
